(137, 0.0028361366142959084)
(137, 0.0028361366142959084)
(138, 0.002602585252725403)
(138, 0.002602585252725403)
(138, 0.002602585252725403)
(138, 0.002602585252725403)
(140, 0.002187491118182885)
(140, 0.002187491118182885)
(141, 0.0020035944229487173)
(141, 0.0020035944229487173)
(141, 0.0020035944229487173)
(141, 0.0020035944229487173)
(141, 0.0020035944229487173)
(142, 0.0018340108300731598)
(142, 0.0018340108300731598)
(142, 0.0018340108300731598)
(142, 0.0018340108300731598)
(143, 0.0016777318282638809)
(143, 0.0016777318282638809)
(143, 0.0016777318282638809)
(143, 0.0016777318282638809)
(144, 0.001533810679324463)
(145, 0.0014013594188853921)
(145, 0.0014013594188853921)
(146, 0.0012795459378999237)
(146, 0.0012795459378999237)
(146, 0.0012795459378999237)
(146, 0.0012795459378999237)
(147, 0.0011675911484396373)
(147, 0.0011675911484396373)
(147, 0.0011675911484396373)
(147, 0.0011675911484396373)
(148, 0.0010647662366679205)
(148, 0.0010647662366679205)
(149, 0.0009703900052560061)
(149, 0.0009703900052560061)
(149, 0.0009703900052560061)
(150, 0.00088382630693505)
(150, 0.00088382630693505)
(150, 0.00088382630693505)
(151, 0.0008044815703484609)
(151, 0.0008044815703484609)
(152, 0.0007318024188804728)
(152, 0.0007318024188804728)
(152, 0.0007318024188804728)
(152, 0.0007318024188804728)
(152, 0.0007318024188804728)
(153, 0.000665273382688759)
(154, 0.0006044147037595555)
(154, 0.0006044147037595555)
(155, 0.0005487802334320488)
(155, 0.0005487802334320488)
(155, 0.0005487802334320488)
(155, 0.0005487802334320488)
(155, 0.0005487802334320488)
(156, 0.0004979554215032735)
(156, 0.0004979554215032735)
(157, 0.0004515553957239617)
(158, 0.0004092231302281789)
(158, 0.0004092231302281789)
(158, 0.0004092231302281789)
(160, 0.00033546262790251185)
(160, 0.00033546262790251185)
(161, 0.0003034442969179204)
(161, 0.0003034442969179204)
(161, 0.0003034442969179204)
(162, 0.0002743104674934012)
(162, 0.0002743104674934012)
(162, 0.0002743104674934012)
(163, 0.00024781885551435306)
(163, 0.00024781885551435306)
(163, 0.00024781885551435306)
(163, 0.00024781885551435306)
(164, 0.00022374579372062055)
(165, 0.0002018849656009158)
(166, 0.00018204621036700636)
(166, 0.00018204621036700636)
(166, 0.00018204621036700636)
(167, 0.00016405439636221056)
(168, 0.00014774836023203364)
(168, 0.00014774836023203364)
(169, 0.00013297990917335653)
(170, 0.00011961288358102437)
(170, 0.00011961288358102437)
(170, 0.00011961288358102437)
(170, 0.00011961288358102437)
(171, 0.00010752227742560714)
(171, 0.00010752227742560714)
(171, 0.00010752227742560714)
(172, 9.659341372218401e-05)
(172, 9.659341372218401e-05)
(172, 9.659341372218401e-05)
(172, 9.659341372218401e-05)
(174, 7.780926861553764e-05)
(174, 7.780926861553764e-05)
(175, 6.97695771959971e-05)
(175, 6.97695771959971e-05)
(175, 6.97695771959971e-05)
(175, 6.97695771959971e-05)
(175, 6.97695771959971e-05)
(175, 6.97695771959971e-05)
(176, 6.252150377482026e-05)
(176, 6.252150377482026e-05)
(176, 6.252150377482026e-05)
(176, 6.252150377482026e-05)
(177, 5.5991397225681906e-05)
(178, 5.0112002886247675e-05)
(179, 4.482195372807148e-05)
(179, 4.482195372807148e-05)
(179, 4.482195372807148e-05)
(179, 4.482195372807148e-05)
(179, 4.482195372807148e-05)
(180, 4.006529739295107e-05)
(180, 4.006529739295107e-05)
(181, 3.5791057008347414e-05)
(181, 3.5791057008347414e-05)
(181, 3.5791057008347414e-05)
(181, 3.5791057008347414e-05)
(181, 3.5791057008347414e-05)
(181, 3.5791057008347414e-05)
(182, 3.195282377442304e-05)
(182, 3.195282377442304e-05)
(182, 3.195282377442304e-05)
(182, 3.195282377442304e-05)
(181, 3.5791057008347414e-05)
(181, 3.5791057008347414e-05)
(180, 4.006529739295107e-05)
(180, 4.006529739295107e-05)
(180, 4.006529739295107e-05)
(179, 4.482195372807148e-05)
(179, 4.482195372807148e-05)
(179, 4.482195372807148e-05)
(179, 4.482195372807148e-05)
(178, 5.0112002886247675e-05)
(178, 5.0112002886247675e-05)
(177, 5.5991397225681906e-05)
(177, 5.5991397225681906e-05)
(175, 6.97695771959971e-05)
(175, 6.97695771959971e-05)
(175, 6.97695771959971e-05)
(175, 6.97695771959971e-05)
(175, 6.97695771959971e-05)
(174, 7.780926861553764e-05)
(173, 8.672117248599528e-05)
(173, 8.672117248599528e-05)
(172, 9.659341372218401e-05)
(172, 9.659341372218401e-05)
(171, 0.00010752227742560714)
(171, 0.00010752227742560714)
(171, 0.00010752227742560714)
(170, 0.00011961288358102437)
(170, 0.00011961288358102437)
(170, 0.00011961288358102437)
(169, 0.00013297990917335653)
(169, 0.00013297990917335653)
(168, 0.00014774836023203364)
(168, 0.00014774836023203364)
(168, 0.00014774836023203364)
(168, 0.00014774836023203364)
(168, 0.00014774836023203364)
(167, 0.00016405439636221056)
(167, 0.00016405439636221056)
(167, 0.00016405439636221056)
(165, 0.0002018849656009158)
(165, 0.0002018849656009158)
(164, 0.00022374579372062055)
(163, 0.00024781885551435306)
(163, 0.00024781885551435306)
(163, 0.00024781885551435306)
(163, 0.00024781885551435306)
(162, 0.0002743104674934012)
(162, 0.0002743104674934012)
(162, 0.0002743104674934012)
(162, 0.0002743104674934012)
(161, 0.0003034442969179204)
(161, 0.0003034442969179204)
(160, 0.00033546262790251185)
(160, 0.00033546262790251185)
(160, 0.00033546262790251185)
(160, 0.00033546262790251185)
(159, 0.00037062770120352125)
(157, 0.0004515553957239617)
(157, 0.0004515553957239617)
(156, 0.0004979554215032735)
(155, 0.0005487802334320488)
(154, 0.0006044147037595555)
(154, 0.0006044147037595555)
(153, 0.000665273382688759)
(153, 0.000665273382688759)
(153, 0.000665273382688759)
(152, 0.0007318024188804728)
(152, 0.0007318024188804728)
(151, 0.0008044815703484609)
(151, 0.0008044815703484609)
(151, 0.0008044815703484609)
(150, 0.00088382630693505)
(150, 0.00088382630693505)
(150, 0.00088382630693505)
(150, 0.00088382630693505)
(149, 0.0009703900052560061)
(148, 0.0010647662366679205)
(148, 0.0010647662366679205)
(147, 0.0011675911484396373)
(147, 0.0011675911484396373)
(146, 0.0012795459378999237)
(146, 0.0012795459378999237)
(146, 0.0012795459378999237)
(145, 0.0014013594188853921)
(145, 0.0014013594188853921)
(145, 0.0014013594188853921)
(143, 0.0016777318282638809)
(143, 0.0016777318282638809)
(142, 0.0018340108300731598)
(142, 0.0018340108300731598)
(141, 0.0020035944229487173)
(140, 0.002187491118182885)
(140, 0.002187491118182885)
(140, 0.002187491118182885)
(138, 0.002602585252725403)
(137, 0.0028361366142959084)
(137, 0.0028361366142959084)
(137, 0.0028361366142959084)
(136, 0.0030887154082367687)
(136, 0.0030887154082367687)
(136, 0.0030887154082367687)
(135, 0.0033616864879322562)
(135, 0.0033616864879322562)
(135, 0.0033616864879322562)
(134, 0.003656495880052896)
(134, 0.003656495880052896)
(134, 0.003656495880052896)
